id,insee,score_4,gamma,max_distance_km,last_update
0,01001,109.81258485076927,5.0,20.0,2025-12-01
1,01002,65.95146935759692,5.0,20.0,2025-12-01
2,01004,587.8005988198413,5.0,20.0,2025-12-01
3,01005,260.6184548471036,5.0,20.0,2025-12-01
4,01006,52.33238899350113,5.0,20.0,2025-12-01
5,01007,185.43736251904457,5.0,20.0,2025-12-01
6,01008,149.19617213450388,5.0,20.0,2025-12-01
7,01009,55.50709144725369,5.0,20.0,2025-12-01
8,01010,89.34649590491051,5.0,20.0,2025-12-01
9,01011,68.46401389054186,5.0,20.0,2025-12-01
10,01012,49.57370182702145,5.0,20.0,2025-12-01
11,01013,47.57972988070587,5.0,20.0,2025-12-01
12,01014,187.80460087690915,5.0,20.0,2025-12-01
13,01015,81.74032190623011,5.0,20.0,2025-12-01
14,01016,43.38906599572483,5.0,20.0,2025-12-01
15,01017,62.0834773357506,5.0,20.0,2025-12-01
16,01019,28.633875088508347,5.0,20.0,2025-12-01
17,01021,366.4554599397394,5.0,20.0,2025-12-01
18,01022,62.44438061000368,5.0,20.0,2025-12-01
19,01023,97.42254320517554,5.0,20.0,2025-12-01
20,01024,182.6625329099856,5.0,20.0,2025-12-01
21,01025,190.27407187575187,5.0,20.0,2025-12-01
22,01026,124.65226620419693,5.0,20.0,2025-12-01
23,01027,448.21590385238073,5.0,20.0,2025-12-01
24,01028,118.74320343159003,5.0,20.0,2025-12-01
25,01029,42.565044960586306,5.0,20.0,2025-12-01
26,01030,377.6513688702928,5.0,20.0,2025-12-01
27,01031,146.5520430361039,5.0,20.0,2025-12-01
28,01032,353.0914054644945,5.0,20.0,2025-12-01
29,01033,494.9967229347894,5.0,20.0,2025-12-01
30,01034,310.61408782527263,5.0,20.0,2025-12-01
31,01035,72.83313092610027,5.0,20.0,2025-12-01
32,01036,52.720230706160564,5.0,20.0,2025-12-01
33,01037,62.73358436353118,5.0,20.0,2025-12-01
34,01038,89.89892359711443,5.0,20.0,2025-12-01
35,01039,55.76364193482512,5.0,20.0,2025-12-01
36,01040,72.94498382362127,5.0,20.0,2025-12-01
37,01041,128.6269278552151,5.0,20.0,2025-12-01
38,01042,121.29988715382977,5.0,20.0,2025-12-01
39,01043,1485.41090708839,5.0,20.0,2025-12-01
40,01044,83.61931905468589,5.0,20.0,2025-12-01
41,01045,170.79522766827475,5.0,20.0,2025-12-01
42,01046,116.60503255466865,5.0,20.0,2025-12-01
43,01047,241.79133487167547,5.0,20.0,2025-12-01
44,01049,926.0857554160506,5.0,20.0,2025-12-01
45,01050,71.66065377429688,5.0,20.0,2025-12-01
46,01051,65.40541244485782,5.0,20.0,2025-12-01
47,01052,93.95601249305781,5.0,20.0,2025-12-01
48,01053,1340.0837257021858,5.0,20.0,2025-12-01
49,01054,266.5156291718209,5.0,20.0,2025-12-01
50,01056,61.25045379439425,5.0,20.0,2025-12-01
51,01057,90.16426364193399,5.0,20.0,2025-12-01
52,01058,117.43829215247786,5.0,20.0,2025-12-01
53,01060,49.820511182346245,5.0,20.0,2025-12-01
54,01061,138.49319123531455,5.0,20.0,2025-12-01
55,01062,351.9802936338811,5.0,20.0,2025-12-01
56,01063,84.52338317470033,5.0,20.0,2025-12-01
57,01064,99.27734963661709,5.0,20.0,2025-12-01
58,01065,184.95381572454102,5.0,20.0,2025-12-01
59,01066,41.33042760955496,5.0,20.0,2025-12-01
60,01067,46.98902053975481,5.0,20.0,2025-12-01
61,01068,65.19872198548806,5.0,20.0,2025-12-01
62,01069,151.35980029674525,5.0,20.0,2025-12-01
63,01071,623.3887327761994,5.0,20.0,2025-12-01
64,01072,271.21125949672876,5.0,20.0,2025-12-01
65,01073,71.25323889756174,5.0,20.0,2025-12-01
66,01074,137.17097416128158,5.0,20.0,2025-12-01
67,01075,268.017482000009,5.0,20.0,2025-12-01
68,01076,39.015784292898566,5.0,20.0,2025-12-01
69,01077,66.62357617949986,5.0,20.0,2025-12-01
70,01078,241.8475492274595,5.0,20.0,2025-12-01
71,01079,39.35347510613415,5.0,20.0,2025-12-01
72,01080,45.148843272634245,5.0,20.0,2025-12-01
73,01081,103.86016070689557,5.0,20.0,2025-12-01
74,01082,58.33636508116504,5.0,20.0,2025-12-01
75,01083,162.88411508380423,5.0,20.0,2025-12-01
76,01084,113.42076543999278,5.0,20.0,2025-12-01
77,01085,63.960564640667144,5.0,20.0,2025-12-01
78,01087,60.766377427979506,5.0,20.0,2025-12-01
79,01088,222.5250757818769,5.0,20.0,2025-12-01
80,01089,196.37242582624484,5.0,20.0,2025-12-01
81,01090,84.6078582795724,5.0,20.0,2025-12-01
82,01092,147.0744140903973,5.0,20.0,2025-12-01
83,01093,234.38707314676796,5.0,20.0,2025-12-01
84,01094,63.88071187601514,5.0,20.0,2025-12-01
85,01095,73.73364188886089,5.0,20.0,2025-12-01
86,01096,109.31437581361922,5.0,20.0,2025-12-01
87,01098,84.18848040280257,5.0,20.0,2025-12-01
88,01099,212.13340409843173,5.0,20.0,2025-12-01
89,01100,36.895637939496225,5.0,20.0,2025-12-01
90,01101,44.91944961960769,5.0,20.0,2025-12-01
91,01102,93.44573798669066,5.0,20.0,2025-12-01
92,01103,397.758224278958,5.0,20.0,2025-12-01
93,01104,126.95329480312087,5.0,20.0,2025-12-01
94,01105,824.1489494004321,5.0,20.0,2025-12-01
95,01106,71.05105763042334,5.0,20.0,2025-12-01
96,01107,74.43489949361224,5.0,20.0,2025-12-01
97,01108,61.598980256777985,5.0,20.0,2025-12-01
98,01109,239.02425927357226,5.0,20.0,2025-12-01
99,01110,60.57227020846244,5.0,20.0,2025-12-01
100,01111,54.70506121162949,5.0,20.0,2025-12-01
101,01112,61.588859682302676,5.0,20.0,2025-12-01
102,01113,100.71718517505592,5.0,20.0,2025-12-01
103,01114,120.61233500233524,5.0,20.0,2025-12-01
104,01115,134.30713686038956,5.0,20.0,2025-12-01
105,01116,42.19627926356085,5.0,20.0,2025-12-01
106,01117,53.31131176090322,5.0,20.0,2025-12-01
107,01118,100.90678571841204,5.0,20.0,2025-12-01
108,01121,42.89999466750517,5.0,20.0,2025-12-01
109,01123,157.60764038427175,5.0,20.0,2025-12-01
110,01124,48.550041815413465,5.0,20.0,2025-12-01
111,01125,81.00279234580276,5.0,20.0,2025-12-01
112,01127,67.4693565382077,5.0,20.0,2025-12-01
113,01128,32.47261600499139,5.0,20.0,2025-12-01
114,01129,116.6632613111662,5.0,20.0,2025-12-01
115,01130,163.29206268849944,5.0,20.0,2025-12-01
116,01133,97.32911668197788,5.0,20.0,2025-12-01
117,01134,181.07462747509936,5.0,20.0,2025-12-01
118,01135,360.35748089740133,5.0,20.0,2025-12-01
119,01136,134.6230722544942,5.0,20.0,2025-12-01
120,01138,119.26573469816803,5.0,20.0,2025-12-01
121,01139,31.958585096325336,5.0,20.0,2025-12-01
122,01140,119.35530952530094,5.0,20.0,2025-12-01
123,01141,55.1034639640007,5.0,20.0,2025-12-01
124,01142,641.2796181289091,5.0,20.0,2025-12-01
125,01143,898.4740684643874,5.0,20.0,2025-12-01
126,01145,104.7310212694411,5.0,20.0,2025-12-01
127,01146,95.4099826731534,5.0,20.0,2025-12-01
128,01147,37.38021816670016,5.0,20.0,2025-12-01
129,01148,88.89036557503455,5.0,20.0,2025-12-01
130,01149,149.4167738119914,5.0,20.0,2025-12-01
131,01150,88.38265466399314,5.0,20.0,2025-12-01
132,01151,132.64126305208885,5.0,20.0,2025-12-01
133,01152,87.19151402835081,5.0,20.0,2025-12-01
134,01153,381.0287303322254,5.0,20.0,2025-12-01
135,01155,47.030903433313426,5.0,20.0,2025-12-01
136,01156,202.00661348290538,5.0,20.0,2025-12-01
137,01157,398.7275186437568,5.0,20.0,2025-12-01
138,01158,199.18814703304326,5.0,20.0,2025-12-01
139,01159,214.5013134778611,5.0,20.0,2025-12-01
140,01160,579.9407742058181,5.0,20.0,2025-12-01
141,01162,72.92097576349143,5.0,20.0,2025-12-01
142,01163,94.71707897035692,5.0,20.0,2025-12-01
143,01165,219.8154277682611,5.0,20.0,2025-12-01
144,01166,449.3965255904489,5.0,20.0,2025-12-01
145,01167,149.92764662005328,5.0,20.0,2025-12-01
146,01169,172.55370858925605,5.0,20.0,2025-12-01
147,01170,74.22168345398899,5.0,20.0,2025-12-01
148,01171,98.64190100305538,5.0,20.0,2025-12-01
149,01173,702.0278696844704,5.0,20.0,2025-12-01
150,01174,71.4144810851252,5.0,20.0,2025-12-01
151,01175,83.64041673472826,5.0,20.0,2025-12-01
152,01177,72.06066840441848,5.0,20.0,2025-12-01
153,01179,163.62654505768384,5.0,20.0,2025-12-01
154,01180,281.6983829242204,5.0,20.0,2025-12-01
155,01181,115.96691044773635,5.0,20.0,2025-12-01
156,01183,239.30950784155834,5.0,20.0,2025-12-01
157,01184,86.59765449939307,5.0,20.0,2025-12-01
158,01185,96.97609300149237,5.0,20.0,2025-12-01
159,01187,46.471634736527605,5.0,20.0,2025-12-01
160,01188,121.60693813787363,5.0,20.0,2025-12-01
161,01189,98.71415531512248,5.0,20.0,2025-12-01
162,01190,41.41189457735604,5.0,20.0,2025-12-01
163,01191,40.74587844875203,5.0,20.0,2025-12-01
164,01192,106.35241873993876,5.0,20.0,2025-12-01
165,01193,94.54169758109222,5.0,20.0,2025-12-01
166,01194,590.4899585900183,5.0,20.0,2025-12-01
167,01195,188.45037294630336,5.0,20.0,2025-12-01
168,01196,74.0600570633522,5.0,20.0,2025-12-01
169,01197,107.15225404830156,5.0,20.0,2025-12-01
170,01198,123.3652530133283,5.0,20.0,2025-12-01
171,01199,105.74896246491792,5.0,20.0,2025-12-01
172,01200,50.06727012030205,5.0,20.0,2025-12-01
173,01202,360.41848000046866,5.0,20.0,2025-12-01
174,01203,143.96557431906237,5.0,20.0,2025-12-01
175,01204,72.71483041607286,5.0,20.0,2025-12-01
176,01206,43.03702354785371,5.0,20.0,2025-12-01
177,01207,170.4042938703414,5.0,20.0,2025-12-01
178,01208,84.3968403924552,5.0,20.0,2025-12-01
179,01209,148.2900825926643,5.0,20.0,2025-12-01
180,01210,140.4638532776078,5.0,20.0,2025-12-01
181,01211,142.87221235226622,5.0,20.0,2025-12-01
182,01212,43.743109445143695,5.0,20.0,2025-12-01
183,01213,152.93238315691474,5.0,20.0,2025-12-01
184,01214,62.44659609191443,5.0,20.0,2025-12-01
185,01215,60.66795322129954,5.0,20.0,2025-12-01
186,01216,74.98964328663575,5.0,20.0,2025-12-01
187,01219,47.25523513404075,5.0,20.0,2025-12-01
188,01224,317.8771567547435,5.0,20.0,2025-12-01
189,01225,201.86976455467132,5.0,20.0,2025-12-01
190,01227,92.80784171072695,5.0,20.0,2025-12-01
191,01228,66.12400827264078,5.0,20.0,2025-12-01
192,01229,105.75010157608858,5.0,20.0,2025-12-01
193,01230,36.69531088158405,5.0,20.0,2025-12-01
194,01231,156.33092002988155,5.0,20.0,2025-12-01
195,01232,100.98057904988131,5.0,20.0,2025-12-01
196,01233,45.798676964909376,5.0,20.0,2025-12-01
197,01234,68.70689454629748,5.0,20.0,2025-12-01
198,01235,81.31584858053006,5.0,20.0,2025-12-01
199,01236,93.65264086220219,5.0,20.0,2025-12-01
200,01237,106.70436827931871,5.0,20.0,2025-12-01
201,01238,976.4528192988898,5.0,20.0,2025-12-01
202,01239,133.2797693178243,5.0,20.0,2025-12-01
203,01240,65.94453908176607,5.0,20.0,2025-12-01
204,01241,128.5042572405825,5.0,20.0,2025-12-01
205,01242,55.136049231852574,5.0,20.0,2025-12-01
206,01243,274.28037594220814,5.0,20.0,2025-12-01
207,01244,479.6005697838081,5.0,20.0,2025-12-01
208,01245,114.28601080094425,5.0,20.0,2025-12-01
209,01246,167.56579321131994,5.0,20.0,2025-12-01
210,01247,149.82319681361898,5.0,20.0,2025-12-01
211,01248,864.7064931660162,5.0,20.0,2025-12-01
212,01249,1481.1011268895377,5.0,20.0,2025-12-01
213,01250,457.4330749114079,5.0,20.0,2025-12-01
214,01252,161.81168652157456,5.0,20.0,2025-12-01
215,01254,264.3815389187073,5.0,20.0,2025-12-01
216,01255,86.01115567657995,5.0,20.0,2025-12-01
217,01257,84.4170342350101,5.0,20.0,2025-12-01
218,01258,206.75739212366238,5.0,20.0,2025-12-01
219,01259,121.52640704566252,5.0,20.0,2025-12-01
220,01260,202.87733594442355,5.0,20.0,2025-12-01
221,01261,301.1230011204978,5.0,20.0,2025-12-01
222,01262,585.8044271159305,5.0,20.0,2025-12-01
223,01263,323.27121765985436,5.0,20.0,2025-12-01
224,01264,133.99088523292613,5.0,20.0,2025-12-01
225,01265,130.13216033777613,5.0,20.0,2025-12-01
226,01266,137.58493109754357,5.0,20.0,2025-12-01
227,01267,87.06753691246514,5.0,20.0,2025-12-01
228,01268,112.89008465369308,5.0,20.0,2025-12-01
229,01269,94.10877460359781,5.0,20.0,2025-12-01
230,01272,112.03361450584248,5.0,20.0,2025-12-01
231,01273,119.39071170886164,5.0,20.0,2025-12-01
232,01274,54.159099209642896,5.0,20.0,2025-12-01
233,01275,1478.0737936290252,5.0,20.0,2025-12-01
234,01276,762.152745576148,5.0,20.0,2025-12-01
235,01277,55.88039638928666,5.0,20.0,2025-12-01
236,01279,56.26725326800632,5.0,20.0,2025-12-01
237,01280,43.60436138681544,5.0,20.0,2025-12-01
238,01281,556.5621076965208,5.0,20.0,2025-12-01
239,01282,51.380136836969356,5.0,20.0,2025-12-01
240,01283,507.51273850499626,5.0,20.0,2025-12-01
241,01284,105.15387177729463,5.0,20.0,2025-12-01
242,01285,858.6628688445121,5.0,20.0,2025-12-01
243,01286,149.2207975559859,5.0,20.0,2025-12-01
244,01288,298.2809326158225,5.0,20.0,2025-12-01
245,01289,359.0100777669163,5.0,20.0,2025-12-01
246,01290,237.91068242235087,5.0,20.0,2025-12-01
247,01291,120.50475777825177,5.0,20.0,2025-12-01
248,01293,53.5943504646525,5.0,20.0,2025-12-01
249,01294,132.20348181260673,5.0,20.0,2025-12-01
250,01295,144.3685898921734,5.0,20.0,2025-12-01
251,01296,40.01514964941039,5.0,20.0,2025-12-01
252,01297,273.04982199566,5.0,20.0,2025-12-01
253,01298,63.30147842926026,5.0,20.0,2025-12-01
254,01299,83.72739922725009,5.0,20.0,2025-12-01
255,01301,191.7338644351108,5.0,20.0,2025-12-01
256,01302,81.60714888836311,5.0,20.0,2025-12-01
257,01303,119.97684897005617,5.0,20.0,2025-12-01
258,01304,166.0513087896799,5.0,20.0,2025-12-01
259,01305,100.75642497626212,5.0,20.0,2025-12-01
260,01306,137.34867667749774,5.0,20.0,2025-12-01
261,01307,87.34099323168546,5.0,20.0,2025-12-01
262,01308,198.34547513953757,5.0,20.0,2025-12-01
263,01309,49.02716312914756,5.0,20.0,2025-12-01
264,01310,94.30367391204,5.0,20.0,2025-12-01
265,01311,34.75047936895977,5.0,20.0,2025-12-01
266,01313,836.1763810761555,5.0,20.0,2025-12-01
267,01314,133.8517118751596,5.0,20.0,2025-12-01
268,01317,105.28679340112623,5.0,20.0,2025-12-01
269,01318,386.3954526908247,5.0,20.0,2025-12-01
270,01319,107.3918650669468,5.0,20.0,2025-12-01
271,01320,265.66971549251656,5.0,20.0,2025-12-01
272,01321,148.0893195787107,5.0,20.0,2025-12-01
273,01322,768.677432134865,5.0,20.0,2025-12-01
274,01323,89.50795483720555,5.0,20.0,2025-12-01
275,01325,158.83738706718376,5.0,20.0,2025-12-01
276,01328,94.1591567921505,5.0,20.0,2025-12-01
277,01329,36.05985951287949,5.0,20.0,2025-12-01
278,01330,26.810419609237908,5.0,20.0,2025-12-01
279,01331,54.62757958412407,5.0,20.0,2025-12-01
280,01332,137.61596694360009,5.0,20.0,2025-12-01
281,01333,520.9957430203258,5.0,20.0,2025-12-01
282,01334,125.92097275602089,5.0,20.0,2025-12-01
283,01335,87.97319607868882,5.0,20.0,2025-12-01
284,01336,115.88208975305147,5.0,20.0,2025-12-01
285,01337,82.11580965902539,5.0,20.0,2025-12-01
286,01338,93.14002545272314,5.0,20.0,2025-12-01
287,01339,578.7460839813141,5.0,20.0,2025-12-01
288,01342,352.16738665312596,5.0,20.0,2025-12-01
289,01343,144.03857858040755,5.0,20.0,2025-12-01
290,01344,302.2876301846499,5.0,20.0,2025-12-01
291,01345,169.48985851112437,5.0,20.0,2025-12-01
292,01346,103.93685720645378,5.0,20.0,2025-12-01
293,01347,578.0338208391636,5.0,20.0,2025-12-01
294,01348,194.8853927723322,5.0,20.0,2025-12-01
295,01349,150.74339346593132,5.0,20.0,2025-12-01
296,01350,160.7529437106047,5.0,20.0,2025-12-01
297,01351,144.14293389042567,5.0,20.0,2025-12-01
298,01352,73.69876165231099,5.0,20.0,2025-12-01
299,01353,492.24026279215565,5.0,20.0,2025-12-01
300,01354,817.385528992718,5.0,20.0,2025-12-01
301,01355,121.81115246164786,5.0,20.0,2025-12-01
302,01356,60.417361853543795,5.0,20.0,2025-12-01
303,01357,69.52621211366584,5.0,20.0,2025-12-01
304,01358,58.34344751549308,5.0,20.0,2025-12-01
305,01359,70.71038432337795,5.0,20.0,2025-12-01
306,01360,280.8318414846172,5.0,20.0,2025-12-01
307,01361,283.26631184273185,5.0,20.0,2025-12-01
308,01362,373.3791310696336,5.0,20.0,2025-12-01
309,01363,126.4242926030377,5.0,20.0,2025-12-01
310,01364,55.930360346506276,5.0,20.0,2025-12-01
311,01365,128.6325402682361,5.0,20.0,2025-12-01
312,01366,170.26575848677274,5.0,20.0,2025-12-01
313,01367,45.71571606680283,5.0,20.0,2025-12-01
314,01368,100.70731441782124,5.0,20.0,2025-12-01
315,01369,188.36677484911058,5.0,20.0,2025-12-01
316,01370,203.09518916697866,5.0,20.0,2025-12-01
317,01371,262.86588466547335,5.0,20.0,2025-12-01
318,01372,44.834154595224085,5.0,20.0,2025-12-01
319,01373,85.08569508124774,5.0,20.0,2025-12-01
320,01374,188.75757569714153,5.0,20.0,2025-12-01
321,01375,105.76089325739777,5.0,20.0,2025-12-01
322,01376,1182.4863849318967,5.0,20.0,2025-12-01
323,01378,375.38577028767605,5.0,20.0,2025-12-01
324,01379,115.99257160099653,5.0,20.0,2025-12-01
325,01380,39.409245681106086,5.0,20.0,2025-12-01
326,01381,107.14574266096484,5.0,20.0,2025-12-01
327,01382,156.81511415306616,5.0,20.0,2025-12-01
328,01383,112.93988024425346,5.0,20.0,2025-12-01
329,01384,110.28603931060685,5.0,20.0,2025-12-01
330,01385,175.25833566143407,5.0,20.0,2025-12-01
331,01386,139.94202950339724,5.0,20.0,2025-12-01
332,01387,85.14305916914654,5.0,20.0,2025-12-01
333,01388,50.4320195141031,5.0,20.0,2025-12-01
334,01389,184.01458169821913,5.0,20.0,2025-12-01
335,01390,236.93671599528207,5.0,20.0,2025-12-01
336,01391,50.884958676894215,5.0,20.0,2025-12-01
337,01392,71.38420237584391,5.0,20.0,2025-12-01
338,01393,81.49791007885366,5.0,20.0,2025-12-01
339,01396,100.71094988871533,5.0,20.0,2025-12-01
340,01397,306.24223794948125,5.0,20.0,2025-12-01
341,01398,314.3591972701808,5.0,20.0,2025-12-01
342,01399,425.9069512600657,5.0,20.0,2025-12-01
343,01400,52.41954671634595,5.0,20.0,2025-12-01
344,01401,325.3228269881873,5.0,20.0,2025-12-01
345,01402,44.02608498516475,5.0,20.0,2025-12-01
346,01403,98.79515228183905,5.0,20.0,2025-12-01
347,01404,64.66539932441994,5.0,20.0,2025-12-01
348,01405,134.1520823902403,5.0,20.0,2025-12-01
349,01406,39.005038892731655,5.0,20.0,2025-12-01
350,01407,96.89215088333236,5.0,20.0,2025-12-01
351,01408,82.10852947479601,5.0,20.0,2025-12-01
352,01410,59.07588053995948,5.0,20.0,2025-12-01
353,01411,75.09788635102807,5.0,20.0,2025-12-01
354,01412,105.02287473507536,5.0,20.0,2025-12-01
355,01415,53.02420145071101,5.0,20.0,2025-12-01
356,01416,62.24953744500693,5.0,20.0,2025-12-01
357,01418,990.2004895321307,5.0,20.0,2025-12-01
358,01419,511.4009617071,5.0,20.0,2025-12-01
359,01420,143.24024679822466,5.0,20.0,2025-12-01
360,01421,110.2018895502985,5.0,20.0,2025-12-01
361,01422,175.94512401784846,5.0,20.0,2025-12-01
362,01423,454.83907888702277,5.0,20.0,2025-12-01
363,01424,881.7012549730165,5.0,20.0,2025-12-01
364,01425,99.03830134759025,5.0,20.0,2025-12-01
365,01426,130.72961885111573,5.0,20.0,2025-12-01
366,01427,783.3134780403909,5.0,20.0,2025-12-01
367,01428,118.38638927183243,5.0,20.0,2025-12-01
368,01429,115.59804566752358,5.0,20.0,2025-12-01
369,01430,127.73151225112969,5.0,20.0,2025-12-01
370,01431,144.19950748315503,5.0,20.0,2025-12-01
371,01432,59.469883239107055,5.0,20.0,2025-12-01
372,01433,34.87126788365447,5.0,20.0,2025-12-01
373,01434,110.51768904231402,5.0,20.0,2025-12-01
374,01435,395.97281922184874,5.0,20.0,2025-12-01
375,01436,233.65449598728688,5.0,20.0,2025-12-01
376,01437,35.91878947882997,5.0,20.0,2025-12-01
377,01439,127.32995490551662,5.0,20.0,2025-12-01
378,01441,60.62496882091367,5.0,20.0,2025-12-01
379,01443,233.41723792471245,5.0,20.0,2025-12-01
380,01444,99.98797550101617,5.0,20.0,2025-12-01
381,01445,75.2043387237418,5.0,20.0,2025-12-01
382,01446,226.8433516556389,5.0,20.0,2025-12-01
383,01447,106.19562547997356,5.0,20.0,2025-12-01
384,01448,70.65814391731664,5.0,20.0,2025-12-01
385,01449,117.20520205355378,5.0,20.0,2025-12-01
386,01450,299.1385675161917,5.0,20.0,2025-12-01
387,01451,391.3624905621157,5.0,20.0,2025-12-01
388,01452,49.51622598144143,5.0,20.0,2025-12-01
389,01453,48.13635537528273,5.0,20.0,2025-12-01
390,01454,135.08427458664787,5.0,20.0,2025-12-01
391,01456,70.48315622493764,5.0,20.0,2025-12-01
392,01457,191.5838106764518,5.0,20.0,2025-12-01
393,02001,62.015555223306606,5.0,20.0,2025-12-01
394,02002,65.68034193572214,5.0,20.0,2025-12-01
395,02003,80.66524303408426,5.0,20.0,2025-12-01
396,02004,11.401816633878669,5.0,20.0,2025-12-01
397,02005,121.7562397017911,5.0,20.0,2025-12-01
398,02006,55.44683371043217,5.0,20.0,2025-12-01
399,02007,34.508573124706174,5.0,20.0,2025-12-01
400,02008,55.04935450785946,5.0,20.0,2025-12-01
401,02009,77.3082730402239,5.0,20.0,2025-12-01
402,02010,56.671074408187465,5.0,20.0,2025-12-01
403,02011,191.54371652734915,5.0,20.0,2025-12-01
404,02012,53.87670353277896,5.0,20.0,2025-12-01
405,02013,28.884977576874405,5.0,20.0,2025-12-01
406,02014,67.44129254011494,5.0,20.0,2025-12-01
407,02015,253.49347839487322,5.0,20.0,2025-12-01
408,02016,60.002828421855995,5.0,20.0,2025-12-01
409,02017,49.74552626708716,5.0,20.0,2025-12-01
410,02018,106.55229408633693,5.0,20.0,2025-12-01
411,02019,67.8067268951967,5.0,20.0,2025-12-01
412,02020,17.8223461129805,5.0,20.0,2025-12-01
413,02021,6.782946646704018,5.0,20.0,2025-12-01
414,02022,39.71713422620894,5.0,20.0,2025-12-01
415,02023,27.030219370135,5.0,20.0,2025-12-01
416,02024,32.02320415814164,5.0,20.0,2025-12-01
417,02025,80.04166423788669,5.0,20.0,2025-12-01
418,02027,36.94033752887071,5.0,20.0,2025-12-01
419,02028,97.15781150477895,5.0,20.0,2025-12-01
420,02029,81.71558766766478,5.0,20.0,2025-12-01
421,02030,75.72425409716081,5.0,20.0,2025-12-01
422,02031,14.476574597940287,5.0,20.0,2025-12-01
423,02032,67.28481840228062,5.0,20.0,2025-12-01
424,02033,34.91333261920494,5.0,20.0,2025-12-01
425,02034,53.94320350918005,5.0,20.0,2025-12-01
426,02035,29.110506080693458,5.0,20.0,2025-12-01
427,02036,43.28085530839504,5.0,20.0,2025-12-01
428,02037,71.45689709308915,5.0,20.0,2025-12-01
429,02038,6.562483922477028,5.0,20.0,2025-12-01
430,02039,21.209822023292283,5.0,20.0,2025-12-01
431,02040,15.696285989639032,5.0,20.0,2025-12-01
432,02041,73.37872389013218,5.0,20.0,2025-12-01
433,02042,56.138361991404416,5.0,20.0,2025-12-01
434,02043,55.191521652111255,5.0,20.0,2025-12-01
435,02044,9.518479960188746,5.0,20.0,2025-12-01
436,02046,51.24932897339276,5.0,20.0,2025-12-01
437,02047,33.539088616981424,5.0,20.0,2025-12-01
438,02048,28.984095189586107,5.0,20.0,2025-12-01
439,02049,61.29757913290118,5.0,20.0,2025-12-01
440,02050,24.726766129049533,5.0,20.0,2025-12-01
441,02051,41.343864478084065,5.0,20.0,2025-12-01
442,02052,53.51548215349024,5.0,20.0,2025-12-01
443,02053,44.877598027193436,5.0,20.0,2025-12-01
444,02054,45.32595516150256,5.0,20.0,2025-12-01
445,02055,11.132875442320795,5.0,20.0,2025-12-01
446,02056,56.35074470300384,5.0,20.0,2025-12-01
447,02057,84.0424981787904,5.0,20.0,2025-12-01
448,02058,48.87642663286269,5.0,20.0,2025-12-01
449,02059,83.91108769624725,5.0,20.0,2025-12-01
450,02060,58.83453096993737,5.0,20.0,2025-12-01
451,02061,47.823048717288316,5.0,20.0,2025-12-01
452,02062,40.510227356081096,5.0,20.0,2025-12-01
453,02063,80.1368676781693,5.0,20.0,2025-12-01
454,02064,149.9815179823639,5.0,20.0,2025-12-01
455,02065,69.24318731179359,5.0,20.0,2025-12-01
456,02066,76.93027923136424,5.0,20.0,2025-12-01
457,02067,22.30123397686297,5.0,20.0,2025-12-01
458,02068,13.188624374244538,5.0,20.0,2025-12-01
459,02069,7.8694841730366845,5.0,20.0,2025-12-01
460,02070,54.59344429397463,5.0,20.0,2025-12-01
461,02071,177.9755933374078,5.0,20.0,2025-12-01
462,02072,32.64194623381916,5.0,20.0,2025-12-01
463,02073,68.14841212858752,5.0,20.0,2025-12-01
464,02074,60.07619773257917,5.0,20.0,2025-12-01
465,02075,73.90382250549959,5.0,20.0,2025-12-01
466,02076,129.27377124107394,5.0,20.0,2025-12-01
467,02077,172.5850256183483,5.0,20.0,2025-12-01
468,02078,47.05638321577125,5.0,20.0,2025-12-01
469,02079,12.345106963590153,5.0,20.0,2025-12-01
470,02080,56.43920168135487,5.0,20.0,2025-12-01
471,02081,59.282814751883336,5.0,20.0,2025-12-01
472,02082,35.59558796059734,5.0,20.0,2025-12-01
473,02083,50.377145303358176,5.0,20.0,2025-12-01
474,02084,57.53660525507597,5.0,20.0,2025-12-01
475,02085,62.33767092414721,5.0,20.0,2025-12-01
476,02086,71.3705023190008,5.0,20.0,2025-12-01
477,02087,58.231090133694984,5.0,20.0,2025-12-01
478,02088,37.9391605021609,5.0,20.0,2025-12-01
479,02089,115.01649952548786,5.0,20.0,2025-12-01
480,02090,162.09238893633835,5.0,20.0,2025-12-01
481,02091,36.2390044164588,5.0,20.0,2025-12-01
482,02093,82.21098357151638,5.0,20.0,2025-12-01
483,02094,65.74106559168011,5.0,20.0,2025-12-01
