id_mutation,date_mutation,numero_disposition,nature_mutation,valeur_fonciere,adresse_numero,adresse_suffixe,adresse_nom_voie,adresse_code_voie,code_postal,code_commune,nom_commune,code_departement,ancien_code_commune,ancien_nom_commune,id_parcelle,ancien_id_parcelle,numero_volume,lot1_numero,lot1_surface_carrez,lot2_numero,lot2_surface_carrez,lot3_numero,lot3_surface_carrez,lot4_numero,lot4_surface_carrez,lot5_numero,lot5_surface_carrez,nombre_lots,code_type_local,type_local,surface_reelle_bati,nombre_pieces_principales,code_nature_culture,nature_culture,code_nature_culture_speciale,nature_culture_speciale,surface_terrain,longitude,latitude
2021-462746,2021-01-04,000001,Vente,203700,30,,AV JEAN JAURES,4738,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DI0084,,,35,42.62,45,,,,,,,,2,2,Appartement,40,2,,,,,,2.478603,48.791519
2021-462747,2021-01-06,000001,Vente,29500,6,,AV ANATOLE FRANCE,0045,94220,94018,Charenton-le-Pont,94,,,940180000M0128,,,265,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.412382,48.823736
2021-462748,2021-01-06,000001,Vente,23810,69,,RUE GARIBALDI,4156,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CN0136,,,125,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.482007,48.797485
2021-462749,2021-01-06,000001,Vente,670000,136,,RUE LEDRU ROLLIN,5211,94100,94068,Saint-Maur-des-Fossés,94,,,94068000DX0047,,,,,,,,,,,,,0,1,Maison,64,4,S,sols,,,328,2.489638,48.790009
2021-462750,2021-01-05,000001,Vente,275000,15,,RUE LOUIS BRAILLE,5271,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CR0120,,,37,,72,45.69,,,,,,,2,2,Appartement,46,2,,,,,,2.478553,48.802301
2021-462750,2021-01-05,000001,Vente,275000,15,,RUE LOUIS BRAILLE,5271,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CR0120,,,5,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.478553,48.802301
2021-462751,2021-01-04,000001,Vente,301000,169,B,RUE ETIENNE DOLET,3180,94140,94002,Alfortville,94,,,94002000AH0127,,,7,,,,,,,,,,1,2,Appartement,57,3,,,,,,2.427946,48.784675
2021-462751,2021-01-04,000001,Vente,301000,169,B,RUE ETIENNE DOLET,3180,94140,94002,Alfortville,94,,,94002000AH0127,,,15,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.427946,48.784675
2021-462752,2021-01-04,000001,Vente,7500,49,,RUE MARCEL BOURDARIAS,6123,94140,94002,Alfortville,94,,,940020000P0100,,,393,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.423462,48.807085
2021-462753,2021-01-07,000001,Vente,565000,2,,PROM DES ANGLAIS,0125,94210,94068,Saint-Maur-des-Fossés,94,,,94068000FG0071,,,27,,6,69.3,,,,,,,2,2,Appartement,69,3,,,,,,2.520428,48.790779
2021-462753,2021-01-07,000001,Vente,565000,2,,PROM DES ANGLAIS,0125,94210,94068,Saint-Maur-des-Fossés,94,,,94068000FG0071,,,29,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.520428,48.790779
2021-462754,2021-01-08,000001,Vente,353500,62,,AV FOCH,3550,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CE0109,,,62,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.493276,48.801483
2021-462754,2021-01-08,000001,Vente,353500,62,,AV FOCH,3550,94100,94068,Saint-Maur-des-Fossés,94,,,94068000CE0109,,,27,61.95,54,,,,,,,,2,2,Appartement,60,3,,,,,,2.493276,48.801483
2021-462755,2021-01-05,000001,Vente,306122,9,,RUE EMILE GOEURY,3144,94140,94002,Alfortville,94,,,940020000G0136,,,282,49.11,,,,,,,,,1,2,Appartement,51,2,,,,,,2.420163,48.809476
2021-462755,2021-01-05,000001,Vente,306122,18,,RUE MARCEL BOURDARIAS,6123,94140,94002,Alfortville,94,,,940020000G0136,,,229,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.420163,48.809476
2021-462756,2021-01-04,000001,Vente,545000,18,,RUE VOLTAIRE,9691,94140,94002,Alfortville,94,,,940020000J0188,,,244,102.51,281,,,,,,,,2,2,Appartement,100,4,,,,,,2.417189,48.806392
2021-462756,2021-01-04,000001,Vente,545000,18,,RUE VOLTAIRE,9691,94140,94002,Alfortville,94,,,940020000J0188,,,302,,,,,,,,,,1,3,Dépendance,,0,,,,,,2.417189,48.806392
