id,upsert_date,contributor,algo_start_date,batch_nb,mode,init_batch_size,update_batch_size
1,2023-10-16 20:29:12.910248+00,jesshuan,2023-10-16 20:20:35.237022+00,1,weighted,10000,9113
2,2023-10-16 20:36:32.81802+00,jesshuan,2023-10-16 20:20:35.237022+00,2,weighted,10000,9172
3,2023-10-16 20:44:32.258185+00,jesshuan,2023-10-16 20:20:35.237022+00,3,weighted,10000,9109
4,2023-10-16 20:51:48.5472+00,jesshuan,2023-10-16 20:20:35.237022+00,4,weighted,10000,9116
5,2023-10-16 20:59:34.956584+00,jesshuan,2023-10-16 20:20:35.237022+00,5,weighted,10000,9190
6,2023-10-16 21:07:08.865253+00,jesshuan,2023-10-16 20:20:35.237022+00,6,weighted,10000,9202
7,2023-10-16 21:14:54.633405+00,jesshuan,2023-10-16 20:20:35.237022+00,7,weighted,10000,9058
8,2023-10-16 21:22:14.118069+00,jesshuan,2023-10-16 20:20:35.237022+00,8,weighted,10000,9085
9,2023-10-16 21:28:54.016341+00,jesshuan,2023-10-16 20:20:35.237022+00,9,weighted,10000,9137
10,2023-10-16 21:35:34.189914+00,jesshuan,2023-10-16 20:20:35.237022+00,10,weighted,10000,9171
11,2023-10-16 21:42:12.544647+00,jesshuan,2023-10-16 20:20:35.237022+00,11,weighted,10000,9075
12,2023-10-16 21:48:53.747666+00,jesshuan,2023-10-16 20:20:35.237022+00,12,weighted,10000,9109
13,2023-10-16 21:55:32.66111+00,jesshuan,2023-10-16 20:20:35.237022+00,13,weighted,10000,9197
14,2023-10-16 22:02:11.582589+00,jesshuan,2023-10-16 20:20:35.237022+00,14,weighted,10000,9136
15,2023-10-16 22:08:55.651325+00,jesshuan,2023-10-16 20:20:35.237022+00,15,weighted,10000,9139
16,2023-10-16 22:15:32.314475+00,jesshuan,2023-10-16 20:20:35.237022+00,16,weighted,10000,9134
17,2023-10-16 22:22:12.599373+00,jesshuan,2023-10-16 20:20:35.237022+00,17,weighted,10000,9179
18,2023-10-16 22:28:55.310548+00,jesshuan,2023-10-16 20:20:35.237022+00,18,weighted,10000,9192
19,2023-10-16 22:35:35.713631+00,jesshuan,2023-10-16 20:20:35.237022+00,19,weighted,10000,9110
20,2023-10-16 22:42:10.387329+00,jesshuan,2023-10-16 20:20:35.237022+00,20,weighted,10000,9103
21,2023-10-16 22:48:47.439006+00,jesshuan,2023-10-16 20:20:35.237022+00,21,weighted,10000,9162
22,2023-10-16 22:55:34.475588+00,jesshuan,2023-10-16 20:20:35.237022+00,22,weighted,10000,9071
23,2023-10-16 23:02:12.904939+00,jesshuan,2023-10-16 20:20:35.237022+00,23,weighted,10000,9082
24,2023-10-16 23:08:50.603516+00,jesshuan,2023-10-16 20:20:35.237022+00,24,weighted,10000,9159
25,2023-10-16 23:15:25.979126+00,jesshuan,2023-10-16 20:20:35.237022+00,25,weighted,10000,9123
26,2023-10-16 23:22:02.188452+00,jesshuan,2023-10-16 20:20:35.237022+00,26,weighted,10000,9099
27,2023-10-16 23:28:42.787785+00,jesshuan,2023-10-16 20:20:35.237022+00,27,weighted,10000,9129
28,2023-10-16 23:35:21.834384+00,jesshuan,2023-10-16 20:20:35.237022+00,28,weighted,10000,9144
29,2023-10-16 23:42:00.289095+00,jesshuan,2023-10-16 20:20:35.237022+00,29,weighted,10000,9132
30,2023-10-16 23:48:38.052442+00,jesshuan,2023-10-16 20:20:35.237022+00,30,weighted,10000,9109
31,2023-10-16 23:55:16.411425+00,jesshuan,2023-10-16 20:20:35.237022+00,31,weighted,10000,9129
32,2023-10-17 00:01:56.253845+00,jesshuan,2023-10-16 20:20:35.237022+00,32,weighted,10000,9180
33,2023-10-17 00:08:35.059478+00,jesshuan,2023-10-16 20:20:35.237022+00,33,weighted,10000,9132
34,2023-10-17 00:15:17.588716+00,jesshuan,2023-10-16 20:20:35.237022+00,34,weighted,10000,9095
35,2023-10-17 00:21:56.298912+00,jesshuan,2023-10-16 20:20:35.237022+00,35,weighted,10000,9171
